"department_id","department","_op","_ts_ms","load_ts"
16,dairy eggs,c,0,1970-01-01 01:00:00.000 +0100
4,produce,c,0,1970-01-01 01:00:00.000 +0100
15,canned goods,c,0,1970-01-01 01:00:00.000 +0100
19,snacks,c,0,1970-01-01 01:00:00.000 +0100
13,pantry,c,0,1970-01-01 01:00:00.000 +0100
1,frozen,c,0,1970-01-01 01:00:00.000 +0100
7,beverages,c,0,1970-01-01 01:00:00.000 +0100
12,meat seafood,c,0,1970-01-01 01:00:00.000 +0100
20,deli,c,0,1970-01-01 01:00:00.000 +0100
17,household,c,0,1970-01-01 01:00:00.000 +0100
3,bakery,c,0,1970-01-01 01:00:00.000 +0100
11,personal care,c,0,1970-01-01 01:00:00.000 +0100
14,breakfast,c,0,1970-01-01 01:00:00.000 +0100
18,babies,c,0,1970-01-01 01:00:00.000 +0100
9,dry goods pasta,c,0,1970-01-01 01:00:00.000 +0100
2,other,c,0,1970-01-01 01:00:00.000 +0100
6,international,c,0,1970-01-01 01:00:00.000 +0100
21,missing,c,0,1970-01-01 01:00:00.000 +0100
10,bulk,c,0,1970-01-01 01:00:00.000 +0100
5,alcohol,c,0,1970-01-01 01:00:00.000 +0100
8,pets,c,0,1970-01-01 01:00:00.000 +0100
